,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
268,san quintin,PH,20.0,2018-11-26,94.0,17.54,120.52,73.4,2.24
269,mountain home,US,75.0,2018-11-26,52.0,43.13,-115.69,42.98,18.34
270,nyurba,RU,64.0,2018-11-26,50.0,63.29,118.35,-30.5,2.73
271,petropavlovsk-kamchatskiy,RU,20.0,2018-11-26,49.0,53.05,158.65,26.6,24.61
272,dobson,US,40.0,2018-11-26,64.0,36.4,-80.72,46.94,9.17
273,tupelo,US,1.0,2018-11-26,45.0,34.26,-88.7,44.96,6.93
274,katherine,AU,0.0,2018-11-26,70.0,-14.47,132.26,84.2,11.41
275,egvekinot,RU,32.0,2018-11-26,73.0,66.32,-179.17,2.31,10.78
276,emerald,AU,36.0,2018-11-26,24.0,-23.53,148.16,93.71,5.19
277,dunedin,NZ,64.0,2018-11-26,88.0,-45.87,170.5,52.98,10.67
278,rongcheng,CN,12.0,2018-11-26,100.0,37.16,122.42,47.18,10.0
279,mehamn,NO,0.0,2018-11-26,79.0,71.03,27.85,32.0,11.41
280,asadabad,IR,40.0,2018-11-26,86.0,34.78,48.12,33.8,4.7
281,nizhnevartovsk,RU,75.0,2018-11-26,83.0,60.93,76.58,-9.41,4.47
282,zhenlai,CN,0.0,2018-11-26,27.0,45.84,123.2,19.01,16.82
283,bebedouro,BR,0.0,2018-11-26,81.0,-20.95,-48.48,71.93,12.12
284,cherskiy,RU,12.0,2018-11-26,55.0,68.75,161.3,-31.8,2.84
285,umm kaddadah,SD,8.0,2018-11-26,35.0,13.6,26.69,56.31,8.1
286,cidreira,BR,8.0,2018-11-26,74.0,-30.17,-50.22,65.54,13.02
287,beeville,US,1.0,2018-11-26,16.0,28.4,-97.75,64.04,5.82
288,manggar,ID,0.0,2018-11-26,99.0,-2.88,108.27,80.16,3.96
289,katobu,ID,20.0,2018-11-26,100.0,-4.94,122.53,81.02,1.72
290,seddon,NZ,100.0,2018-11-26,100.0,-41.67,174.07,55.55,18.72
291,sur,OM,0.0,2018-11-26,100.0,22.57,59.53,75.08,2.51
292,sao filipe,CV,0.0,2018-11-26,93.0,14.9,-24.5,76.25,13.8
293,tucuman,PE,0.0,2018-11-26,61.0,-17.17,-70.89,57.53,0.6
294,celestun,MX,12.0,2018-11-26,95.0,20.87,-90.4,79.85,10.78
295,ocampo,PH,92.0,2018-11-26,89.0,13.56,123.37,79.53,10.56
296,acajutla,SV,20.0,2018-11-26,62.0,13.59,-89.83,84.2,5.82
297,ak-dovurak,RU,76.0,2018-11-26,80.0,51.17,90.6,-1.61,2.17
298,fortuna,ES,0.0,2018-11-26,54.0,38.18,-1.13,59.0,8.05
299,inuvik,CA,90.0,2018-11-26,77.0,68.36,-133.71,-2.21,2.95
300,boddam,GB,68.0,2018-11-26,92.0,57.47,-1.78,30.2,7.43
301,epinal,FR,75.0,2018-11-26,86.0,48.18,6.45,41.0,4.7
302,sao domingos,BR,76.0,2018-11-26,88.0,-13.4,-46.32,69.59,7.65
303,ono,JP,20.0,2018-11-26,93.0,35.98,136.49,42.8,5.82
304,harnosand,SE,0.0,2018-11-26,79.0,62.63,17.94,23.0,10.29
305,nhulunbuy,AU,40.0,2018-11-26,70.0,-12.18,136.78,87.8,12.75
306,virginia beach,US,90.0,2018-11-26,64.0,36.85,-75.98,62.06,11.41
307,bonthe,SL,32.0,2018-11-26,83.0,7.53,-12.5,81.56,4.97
308,keningau,MY,75.0,2018-11-26,88.0,5.33,116.16,77.0,5.82
309,havelock,US,1.0,2018-11-26,72.0,34.88,-76.9,66.92,12.75
310,chapais,CA,90.0,2018-11-26,92.0,49.78,-74.86,30.2,12.75
311,twentynine palms,US,1.0,2018-11-26,10.0,34.14,-116.05,80.96,8.05
312,tuatapere,NZ,20.0,2018-11-26,81.0,-46.13,167.69,60.05,6.31
313,vavuniya,LK,44.0,2018-11-26,91.0,8.76,80.5,67.97,3.74
314,corrente,BR,68.0,2018-11-26,97.0,-17.45,-44.68,64.1,2.73
315,svetlaya,RU,0.0,2018-11-26,100.0,46.54,138.33,43.49,16.49
316,ryotsu,JP,20.0,2018-11-26,87.0,38.08,138.43,42.8,9.17
317,camopi,GF,92.0,2018-11-26,99.0,3.17,-52.33,73.05,2.17
318,hagere hiywet,ET,0.0,2018-11-26,91.0,8.98,37.85,40.88,2.73
319,loukhi,RU,64.0,2018-11-26,88.0,66.08,33.04,18.56,6.08
320,ilhabela,BR,36.0,2018-11-26,100.0,-23.78,-45.36,71.43,7.43
321,mega,ET,8.0,2018-11-26,89.0,4.06,38.32,60.59,5.97
322,ringsted,DK,0.0,2018-11-26,100.0,55.45,11.8,32.0,4.7
323,launceston,AU,90.0,2018-11-26,87.0,-41.43,147.14,57.2,3.36
324,pirgos,GR,40.0,2018-11-26,82.0,35.12,25.72,64.4,16.11
325,changping,CN,0.0,2018-11-26,12.0,40.22,116.23,42.8,11.18
326,taltal,CL,0.0,2018-11-26,82.0,-25.41,-70.49,60.63,2.28
327,isla mujeres,MX,75.0,2018-11-26,69.0,21.23,-86.73,82.4,1.95
328,le vauclin,MQ,40.0,2018-11-26,74.0,14.55,-60.84,80.6,9.17
329,marsh harbour,BS,76.0,2018-11-26,100.0,26.54,-77.06,80.66,14.25
330,puerto penasco,MX,0.0,2018-11-26,94.0,31.32,-113.53,68.15,13.69
331,santa ana,SV,20.0,2018-11-26,62.0,13.99,-89.56,84.2,5.82
332,honiara,SB,40.0,2018-11-26,70.0,-9.43,159.96,87.8,4.7
333,lorengau,PG,32.0,2018-11-26,100.0,-2.02,147.27,82.91,10.22
334,san jose el alto,MX,75.0,2018-11-26,30.0,20.65,-100.37,71.6,5.82
335,malpe,IN,0.0,2018-11-26,88.0,13.35,74.72,77.0,4.7
336,hasaki,JP,75.0,2018-11-26,93.0,35.73,140.83,50.0,6.93
337,klaksvik,FO,80.0,2018-11-26,93.0,62.23,-6.59,35.6,6.93
338,golovino,RU,56.0,2018-11-26,90.0,55.95,40.44,18.02,7.76
339,nisia floresta,BR,40.0,2018-11-26,78.0,-6.09,-35.21,80.6,11.41
340,zhezkazgan,KZ,56.0,2018-11-26,70.0,47.8,67.71,12.62,3.18
341,bonavista,CA,92.0,2018-11-26,98.0,48.65,-53.11,37.19,19.17
342,mukhen,RU,76.0,2018-11-26,85.0,48.19,136.14,31.25,9.78
343,alto araguaia,BR,8.0,2018-11-26,90.0,-17.32,-53.22,72.74,6.76
344,oktyabrskiy,RU,75.0,2018-11-26,79.0,55.61,37.97,26.6,4.47
345,qaqortoq,GL,0.0,2018-11-26,31.0,60.72,-46.03,33.8,4.18
346,lubango,AO,8.0,2018-11-26,64.0,-14.92,13.49,57.08,1.39
347,camacha,PT,20.0,2018-11-26,77.0,33.08,-16.33,64.4,5.82
348,viedma,AR,36.0,2018-11-26,38.0,-40.81,-62.99,65.63,12.01
349,waipawa,NZ,12.0,2018-11-26,90.0,-39.94,176.59,66.03,4.52
350,berlevag,NO,0.0,2018-11-26,79.0,70.86,29.09,26.6,11.41
351,auki,NG,0.0,2018-11-26,48.0,12.18,6.51,64.19,5.64
352,namibe,AO,0.0,2018-11-26,100.0,-15.19,12.15,70.98,7.65
353,lira,UG,20.0,2018-11-26,66.0,2.25,32.9,68.15,6.42
354,te anau,NZ,64.0,2018-11-26,59.0,-45.41,167.72,64.46,3.74
355,muyuka,CM,40.0,2018-11-26,94.0,4.29,9.41,78.8,3.51
356,marsa matruh,EG,0.0,2018-11-26,77.0,31.35,27.25,59.0,3.18
357,tiznit,MA,36.0,2018-11-26,96.0,29.7,-9.73,56.81,3.96
358,rundu,NA,12.0,2018-11-26,83.0,-17.91,19.77,67.38,4.63
359,nirmal,IN,12.0,2018-11-26,78.0,19.09,78.35,53.16,2.51
360,pinega,RU,80.0,2018-11-26,74.0,64.7,43.39,12.08,3.62
361,bathsheba,BB,40.0,2018-11-26,78.0,13.22,-59.52,80.6,16.11
362,fort thomas,US,90.0,2018-11-26,96.0,39.08,-84.45,33.98,17.22
363,la romana,DO,20.0,2018-11-26,83.0,18.43,-68.97,78.8,4.7
364,capaci,IT,75.0,2018-11-26,72.0,38.17,13.24,62.6,35.57
365,praia,BR,0.0,2018-11-26,64.0,-20.25,-43.81,71.6,5.82
366,vestmannaeyjar,IS,20.0,2018-11-26,100.0,63.44,-20.27,38.31,13.02
367,acapulco,MX,75.0,2018-11-26,66.0,16.86,-99.88,86.0,4.85
368,neuquen,AR,75.0,2018-11-26,43.0,-38.95,-68.06,71.6,10.29
369,demba,CD,92.0,2018-11-26,99.0,-5.47,22.27,69.18,2.17
370,mercedes,UY,92.0,2018-11-26,50.0,-33.25,-58.03,70.26,10.0
371,varberg,SE,0.0,2018-11-26,85.0,57.11,12.25,24.8,5.82
372,jiazi,CN,90.0,2018-11-26,83.0,19.61,110.49,71.6,8.95
373,pasighat,IN,0.0,2018-11-26,54.0,28.06,95.33,54.38,2.73
374,pangnirtung,CA,90.0,2018-11-26,85.0,66.15,-65.72,15.8,13.87
375,eldorado,MX,5.0,2018-11-26,42.0,24.32,-107.36,84.2,11.41
376,le port,FR,8.0,2018-11-26,78.0,42.87,1.37,26.93,3.96
377,fuling,CN,92.0,2018-11-26,99.0,29.71,107.39,48.03,1.28
378,ilulissat,GL,80.0,2018-11-26,79.0,69.22,-51.1,21.2,2.84
379,nouadhibou,MR,0.0,2018-11-26,70.0,20.93,-17.03,68.78,13.8
380,miranda,CO,90.0,2018-11-26,94.0,3.25,-76.23,69.8,4.7
381,chernyshevskiy,RU,24.0,2018-11-26,54.0,63.01,112.47,-32.07,2.62
382,kisangani,CD,24.0,2018-11-26,94.0,0.52,25.21,74.31,3.18
383,touros,BR,92.0,2018-11-26,84.0,-5.2,-35.46,80.21,15.37
384,wana,PK,12.0,2018-11-26,78.0,32.31,69.59,28.23,2.17
385,altamont,CA,44.0,2018-11-26,100.0,49.4,-98.5,12.2,10.29
386,mount isa,AU,48.0,2018-11-26,32.0,-20.73,139.49,84.2,6.93
387,flinders,AU,75.0,2018-11-26,68.0,-34.58,150.85,68.0,5.82
388,valente,BR,92.0,2018-11-26,96.0,-11.41,-39.46,70.08,7.87
389,conceicao do araguaia,BR,76.0,2018-11-26,97.0,-8.26,-49.26,75.93,2.06
390,piterka,RU,88.0,2018-11-26,97.0,50.68,47.44,33.68,9.66
391,kupang,ID,75.0,2018-11-26,88.0,-10.16,123.6,78.8,4.74
392,taoudenni,ML,56.0,2018-11-26,37.0,22.68,-3.98,60.45,10.67
393,kankan,GN,0.0,2018-11-26,67.0,10.38,-9.3,68.33,2.95
394,dehloran,IR,0.0,2018-11-26,93.0,32.69,47.27,49.56,2.73
395,barreiras,BR,80.0,2018-11-26,99.0,-12.14,-45.0,68.51,2.73
396,danane,CI,48.0,2018-11-26,93.0,7.26,-8.15,73.64,3.29
397,sioux lookout,CA,90.0,2018-11-26,85.0,50.1,-91.92,12.2,10.29
398,takoradi,GH,48.0,2018-11-26,100.0,4.89,-1.75,81.02,6.31
399,codrington,AU,8.0,2018-11-26,55.0,-28.95,153.24,81.06,3.96
400,meadow lake,CA,90.0,2018-11-26,85.0,54.13,-108.44,23.0,8.05
401,amalapuram,IN,0.0,2018-11-26,78.0,16.58,82.0,69.45,5.64
402,tsuyama,JP,20.0,2018-11-26,81.0,35.14,134.03,46.4,9.17
403,oranjestad,AW,20.0,2018-11-26,78.0,12.52,-70.03,82.4,18.34
404,lamar,US,1.0,2018-11-26,29.0,38.09,-102.62,46.04,8.05
405,bucerias,MX,5.0,2018-11-26,78.0,20.76,-105.33,78.8,8.05
406,san cristobal,EC,90.0,2018-11-26,87.0,-0.39,-78.55,55.4,2.24
407,longonjo,AO,64.0,2018-11-26,93.0,-12.91,15.25,56.36,2.39
408,aklavik,CA,90.0,2018-11-26,77.0,68.22,-135.01,-2.21,4.63
409,mazatlan,MX,5.0,2018-11-26,57.0,23.22,-106.42,80.6,5.82
410,ishigaki,JP,75.0,2018-11-26,88.0,24.34,124.16,71.6,9.17
411,wanning,AT,75.0,2018-11-26,98.0,48.64,13.53,33.8,8.05
412,queanbeyan,AU,75.0,2018-11-26,63.0,-35.35,149.23,64.4,5.82
413,lexington,US,90.0,2018-11-26,81.0,38.05,-84.5,33.08,17.22
414,williamsport,US,90.0,2018-11-26,92.0,41.25,-77.0,44.96,8.05
415,suicheng,CN,8.0,2018-11-26,90.0,33.9,117.93,41.33,3.51
416,miram shah,PK,32.0,2018-11-26,81.0,33.01,70.07,42.0,2.95
417,necochea,AR,64.0,2018-11-26,67.0,-38.55,-58.74,64.37,7.54
418,sarangani,PH,12.0,2018-11-26,99.0,5.4,125.46,83.13,1.05
419,ostrovnoy,RU,80.0,2018-11-26,93.0,68.05,39.51,21.35,12.24
420,macia,MZ,8.0,2018-11-26,65.0,-25.03,33.09,79.94,7.65
421,dongli,CN,92.0,2018-11-26,93.0,24.18,117.61,62.6,4.47
422,rudnogorsk,RU,56.0,2018-11-26,63.0,57.27,103.75,8.57,4.52
423,ola,RU,20.0,2018-11-26,64.0,59.58,151.3,-4.01,2.24
424,virden,CA,0.0,2018-11-26,57.0,49.85,-100.93,-6.6,2.73
425,grand gaube,MU,75.0,2018-11-26,94.0,-20.01,57.66,77.0,16.11
426,sawakin,SD,0.0,2018-11-26,100.0,19.1,37.33,65.72,4.41
427,vera cruz,BR,0.0,2018-11-26,76.0,-22.22,-49.82,71.43,13.91
428,gornopravdinsk,RU,88.0,2018-11-26,79.0,60.06,69.92,4.52,5.64
429,korfez,TR,75.0,2018-11-26,93.0,40.78,29.73,62.6,2.24
430,norwich,GB,80.0,2018-11-26,93.0,52.63,1.29,42.8,3.36
431,puerto ayacucho,CO,75.0,2018-11-26,66.0,5.66,-67.63,86.0,2.39
432,george,NG,20.0,2018-11-26,88.0,6.63,3.35,82.4,4.7
433,kokkola,FI,75.0,2018-11-26,68.0,63.84,23.13,30.2,9.17
434,wajir,KE,0.0,2018-11-26,89.0,1.75,40.07,70.53,2.73
435,requena,ES,0.0,2018-11-26,58.0,39.49,-1.1,53.6,9.17
436,lavrentiya,RU,64.0,2018-11-26,100.0,65.58,-170.99,24.41,34.16
437,kuytun,RU,44.0,2018-11-26,60.0,54.34,101.51,0.51,3.62
438,chichimila,MX,24.0,2018-11-26,69.0,20.62,-88.22,81.83,3.62
439,port moresby,PG,20.0,2018-11-26,66.0,-9.47,147.16,86.0,6.93
440,nikki,BJ,0.0,2018-11-26,62.0,9.94,3.21,67.7,2.73
441,victor harbor,AU,75.0,2018-11-26,67.0,-35.55,138.62,60.8,8.05
442,olinda,EC,90.0,2018-11-26,74.0,-2.03,-79.75,78.8,11.41
443,dzerzhinskoye,RU,80.0,2018-11-26,75.0,56.84,95.22,11.58,2.95
444,savinka,RU,92.0,2018-11-26,98.0,50.08,47.1,33.41,11.34
445,lunino,RU,76.0,2018-11-26,90.0,53.59,45.22,21.17,4.52
446,shenjiamen,CN,68.0,2018-11-26,98.0,29.96,122.3,63.15,16.04
447,bunesti,RO,75.0,2018-11-26,86.0,46.83,27.97,33.8,10.29
448,makakilo city,US,40.0,2018-11-26,58.0,21.35,-158.09,84.92,9.17
449,manhattan,US,75.0,2018-11-26,69.0,39.18,-96.57,35.06,4.7
450,bria,CF,0.0,2018-11-26,65.0,6.54,21.99,66.89,5.19
451,cravo norte,CO,56.0,2018-11-26,44.0,6.3,-70.2,90.65,10.22
452,hualmay,PE,12.0,2018-11-26,84.0,-11.1,-77.61,64.41,5.08
453,kailua,US,20.0,2018-11-26,84.0,21.39,-157.74,84.92,6.93
454,andros town,BS,75.0,2018-11-26,74.0,24.73,-77.79,78.8,4.7
455,lata,IN,20.0,2018-11-26,55.0,30.78,78.62,42.45,3.18
456,dillon,US,1.0,2018-11-26,58.0,45.22,-112.64,35.06,12.75
457,gamba,CN,0.0,2018-11-26,38.0,28.28,88.52,-9.39,3.06
458,poli,CM,0.0,2018-11-26,80.0,8.48,13.24,63.96,2.17
459,tawau,MY,75.0,2018-11-26,94.0,4.26,117.89,75.2,3.36
460,yongan,CN,12.0,2018-11-26,49.0,39.7,113.69,11.85,3.96
461,berezovyy,RU,48.0,2018-11-26,85.0,51.67,135.7,-0.8,2.28
462,anchorage,US,75.0,2018-11-26,100.0,61.22,-149.89,39.92,3.96
463,lufilufi,WS,100.0,2018-11-26,100.0,-13.87,-171.6,83.85,10.89
464,myrtle beach,US,1.0,2018-11-26,59.0,33.7,-78.89,66.02,4.7
465,roebourne,AU,0.0,2018-11-26,19.0,-20.77,117.15,79.58,5.64
466,pachino,IT,40.0,2018-11-26,87.0,36.72,15.09,57.2,2.24
467,nsoko,ZA,20.0,2018-11-26,79.0,-27.07,31.93,71.3,2.84
468,nome,US,1.0,2018-11-26,33.0,30.04,-94.42,57.92,9.17
469,farafangana,MG,92.0,2018-11-26,99.0,-22.82,47.83,76.43,6.42
470,pakokku,MM,0.0,2018-11-26,87.0,21.33,95.09,57.53,3.62
471,karratha,AU,0.0,2018-11-26,19.0,-20.74,116.85,79.58,5.64
472,floresti,MD,92.0,2018-11-26,99.0,47.89,28.3,34.98,8.21
473,staryy nadym,RU,64.0,2018-11-26,60.0,65.61,72.68,-20.51,7.2
474,pyu,MM,0.0,2018-11-26,92.0,18.48,96.43,66.93,2.84
475,zhangjiakou,CN,0.0,2018-11-26,33.0,40.77,114.88,16.04,6.76
476,moose factory,CA,90.0,2018-11-26,78.0,51.26,-80.61,17.6,6.93
477,tengzhou,CN,56.0,2018-11-26,58.0,35.11,117.16,41.24,12.68
478,constitucion,MX,5.0,2018-11-26,45.0,23.99,-104.67,68.0,5.82
479,kibala,TD,0.0,2018-11-26,57.0,9.11,18.35,75.2,2.73
480,yangcun,CN,0.0,2018-11-26,78.0,29.98,118.17,37.19,2.17
481,lodja,CD,92.0,2018-11-26,98.0,-3.52,23.6,68.78,0.83
482,flin flon,CA,90.0,2018-11-26,78.0,54.77,-101.88,8.6,2.62
483,san policarpo,PH,88.0,2018-11-26,95.0,12.18,125.51,80.61,12.8
484,kalevala,FI,88.0,2018-11-26,86.0,64.12,29.58,23.24,6.31
485,borogontsy,RU,8.0,2018-11-26,75.0,62.67,131.17,-37.65,2.73
486,raudeberg,NO,0.0,2018-11-26,92.0,61.99,5.14,30.2,5.82
487,thinadhoo,MV,88.0,2018-11-26,99.0,0.53,72.93,83.99,0.49
488,birobidzhan,RU,0.0,2018-11-26,61.0,48.79,132.93,23.01,10.33
489,bingol,TR,92.0,2018-11-26,96.0,38.88,40.49,33.81,2.28
490,beringovskiy,RU,12.0,2018-11-26,100.0,63.05,179.32,11.58,26.22
491,limbang,BN,75.0,2018-11-26,94.0,4.75,115.01,78.8,2.24
492,buala,SB,92.0,2018-11-26,92.0,-8.15,159.59,83.99,4.29
493,amahai,ID,8.0,2018-11-26,100.0,-3.31,129.0,83.76,4.41
494,katangli,RU,92.0,2018-11-26,92.0,51.71,143.23,31.52,10.67
495,saint anthony,US,1.0,2018-11-26,54.0,43.97,-111.68,35.96,2.73
496,san patricio,PY,68.0,2018-11-26,75.0,-26.98,-56.83,76.52,3.74
497,los llanos de aridane,ES,32.0,2018-11-26,100.0,28.66,-17.92,66.08,5.64
498,yuli,NG,0.0,2018-11-26,46.0,10.52,9.86,62.7,5.75
499,young,UY,92.0,2018-11-26,47.0,-32.7,-57.63,69.68,9.66
500,andra,RU,68.0,2018-11-26,79.0,62.52,65.89,-1.16,7.43
501,half moon bay,US,1.0,2018-11-26,82.0,37.46,-122.43,66.02,3.36
502,kiruna,SE,32.0,2018-11-26,62.0,67.86,20.23,23.0,16.11
503,cuamba,MZ,76.0,2018-11-26,84.0,-14.8,36.54,70.8,2.73
504,san juan,PH,20.0,2018-11-26,100.0,14.6,121.03,75.2,3.36
505,khandyga,RU,0.0,2018-11-26,0.0,62.65,135.58,-39.32,2.39
506,peleduy,RU,48.0,2018-11-26,70.0,59.63,112.75,-16.55,2.39
507,masuguru,MZ,0.0,2018-11-26,76.0,-11.38,38.46,76.88,7.99
508,katsuura,JP,75.0,2018-11-26,87.0,33.93,134.5,50.0,8.05
509,oxbow,CA,90.0,2018-11-26,72.0,49.23,-102.17,14.0,6.93
510,jiwani,PK,0.0,2018-11-26,96.0,25.05,61.74,70.4,5.75
511,shelburne,CA,90.0,2018-11-26,97.0,44.08,-80.2,39.2,6.93
512,narimanov,RU,90.0,2018-11-26,100.0,46.69,47.85,39.2,4.47
513,agirish,RU,88.0,2018-11-26,88.0,61.92,63.02,6.18,4.63
514,lagoa,PT,0.0,2018-11-26,87.0,37.14,-8.45,51.8,2.24
515,tessalit,ML,44.0,2018-11-26,40.0,20.2,1.01,58.61,3.85
516,mapiripan,CO,44.0,2018-11-26,46.0,2.89,-72.13,87.05,5.3
517,brus laguna,HN,92.0,2018-11-26,93.0,15.75,-84.48,76.97,1.72
518,xining,CN,56.0,2018-11-26,70.0,36.62,101.77,4.65,2.62
519,la asuncion,EC,92.0,2018-11-26,99.0,-1.64,-78.74,49.34,0.38
520,riyadh,SA,0.0,2018-11-26,87.0,24.63,46.72,55.4,2.24
521,auchi,NG,80.0,2018-11-26,79.0,7.07,6.27,76.97,6.98
522,tautira,PF,75.0,2018-11-26,70.0,-17.73,-149.15,86.0,2.24
523,mattru,SL,24.0,2018-11-26,81.0,7.62,-11.83,77.24,4.63
524,gombong,ID,44.0,2018-11-26,92.0,-7.19,109.31,74.09,3.18
525,belyy yar,RU,40.0,2018-11-26,85.0,53.6,91.39,17.6,2.95
526,aksarka,RU,44.0,2018-11-26,63.0,66.56,67.8,-21.41,4.63
527,vardo,US,90.0,2018-11-26,57.0,39.62,-77.74,48.2,14.99
528,aykhal,RU,20.0,2018-11-26,50.0,65.95,111.51,-31.31,2.73
529,port blair,IN,88.0,2018-11-26,96.0,11.67,92.75,84.98,11.45
530,umm lajj,SA,68.0,2018-11-26,98.0,25.02,37.27,67.97,6.31
531,zhicheng,CN,76.0,2018-11-26,67.0,35.04,112.59,37.37,4.18
532,nemuro,JP,92.0,2018-11-26,96.0,43.32,145.57,48.98,23.2
533,apiai,BR,88.0,2018-11-26,83.0,-24.51,-48.84,63.47,4.29
534,skibbereen,IE,75.0,2018-11-26,93.0,51.55,-9.27,46.4,17.22
535,kieta,PG,56.0,2018-11-26,97.0,-6.22,155.63,83.58,2.73
536,grindavik,IS,75.0,2018-11-26,80.0,63.84,-22.43,39.2,14.99
537,tavricheskoye,RU,75.0,2018-11-26,92.0,54.59,73.64,19.4,8.95
